time,District,Latitude,Longitude,"Season(SA = Summer Autumn, WS = Winter Spring)","Rice Crop Intensity(D=Double, T=Triple)",Date of Harvest,Field size (ha),Rice Yield (kg/ha),red,green,blue,rededge1,rededge2,rededge3,nir,swir
2022-04-25,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,2136.214,2071.674,1964.651,2416.7217,2461.1506,2557.3223,2497.1482,2331.8335
2022-04-20,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,2200.9983,2152.751,2134.868,2348.5796,2221.7756,2315.3303,2223.9175,1761.0331
2022-04-15,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,,,,,,,,
2022-04-10,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,2307.9438,2286.9502,2319.5193,2525.2908,2571.9692,2699.64,2629.3433,2476.4585
2022-04-05,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,2344.063,2174.324,1794.5974,3030.053,3597.5974,3892.064,3847.288,3457.486
2022-03-31,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,2152.41,2265.0247,1983.3442,2902.131,3756.7048,4228.4756,4153.541,3178.9016
2022-03-26,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,1912.0664,2067.8506,1629.2656,2898.3765,4183.0,4682.5537,4736.0957,3278.8303
2022-03-21,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,2561.2988,2764.1926,2650.4424,3157.172,3941.203,4400.96,4213.423,3155.8804
2022-03-16,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,,,,,,,,
2022-07-14,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,,,,,,,,
2022-07-09,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,,,,,,,,
2022-07-04,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,,,,,,,,
2022-06-29,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,,,,,,,,
2022-06-24,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,1441.5444,1663.1228,1440.1467,1970.3689,3583.4734,4329.7197,4192.643,2479.882
2022-06-19,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,,,,,,,,
2022-06-14,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,1746.8135,2058.968,1807.6387,2422.339,4495.929,5495.2607,5361.647,3073.7627
2022-06-09,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,1400.8242,1598.7522,1333.0073,1919.553,3433.0068,4203.934,4105.5483,2607.115
2022-06-04,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,1508.4314,1792.6194,1496.194,2114.7344,3836.6956,4528.5435,4400.333,2781.2896
2022-05-30,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,,,,,,,,
2022-05-25,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,1405.3463,1694.8198,1322.7991,2051.131,3713.8164,4291.515,4154.214,2933.115
2022-05-20,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,,,,,,,,
2022-05-15,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,1688.0742,1925.587,1654.9258,2243.584,3145.1904,3382.2935,3206.555,2806.8193
2022-05-10,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,,,,,,,,
2022-04-30,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,,,,,,,,
2022-04-25,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,2121.3127,2342.996,2252.3567,2560.3347,3218.1274,3431.9163,3295.1733,2562.0796
2022-04-20,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,2055.273,2039.6685,1889.1736,2354.6619,2594.0056,2789.6846,2686.312,1910.9878
2022-04-15,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,2323.7883,2644.7153,2672.9197,2738.1533,3053.8906,3185.0876,3084.303,2208.1387
2022-04-10,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,2263.5361,2268.8196,2249.53,2528.529,2616.071,2765.39,2694.2666,2494.689
2022-04-05,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,2181.333,2003.1116,1747.9514,2602.4817,2928.583,3131.5317,3083.212,2998.1318
2022-03-31,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,2080.5,2027.0,1972.75,2262.0,2078.0,2216.0,2112.0,1418.0
2022-03-26,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,1743.1144,1915.2592,1582.5729,2548.33,3568.66,3934.6113,3966.3987,2676.911
2022-03-21,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,,,,,,,,
2022-03-16,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,,,,,,,,
2022-07-14,Chau_Phu,10.467721,105.192464,SA,D,15-07-2022,1.95,6400,1645.3483,1806.9851,1680.602,2154.2588,2930.025,3261.2139,3247.6218,2050.9553
2022-07-09,Chau_Phu,10.467721,105.192464,SA,D,15-07-2022,1.95,6400,,,,,,,,
2022-07-04,Chau_Phu,10.467721,105.192464,SA,D,15-07-2022,1.95,6400,,,,,,,,
2022-06-29,Chau_Phu,10.467721,105.192464,SA,D,15-07-2022,1.95,6400,,,,,,,,
2022-06-24,Chau_Phu,10.467721,105.192464,SA,D,15-07-2022,1.95,6400,,,,,,,,
2022-06-19,Chau_Phu,10.467721,105.192464,SA,D,15-07-2022,1.95,6400,1718.4192,1876.9316,1650.0024,2252.5598,3204.2861,3770.7537,3651.2139,2608.6917
2022-06-14,Chau_Phu,10.467721,105.192464,SA,D,15-07-2022,1.95,6400,,,,,,,,
2022-06-09,Chau_Phu,10.467721,105.192464,SA,D,15-07-2022,1.95,6400,1459.7717,1691.7166,1408.0698,2050.4802,3668.1719,4528.6523,4423.9995,2840.3657
2022-06-04,Chau_Phu,10.467721,105.192464,SA,D,15-07-2022,1.95,6400,1559.4332,1888.139,1594.3932,2262.397,4253.9995,5063.7065,4930.997,3011.6057
2022-05-30,Chau_Phu,10.467721,105.192464,SA,D,15-07-2022,1.95,6400,,,,,,,,
2022-05-25,Chau_Phu,10.467721,105.192464,SA,D,15-07-2022,1.95,6400,1493.8502,1724.1222,1371.1115,2147.0671,3850.2417,4422.8423,4291.131,2961.6956
2022-05-20,Chau_Phu,10.467721,105.192464,SA,D,15-07-2022,1.95,6400,1495.1818,1710.1498,1393.596,2146.899,3671.0957,4289.6787,4123.6143,3156.8384
2022-05-15,Chau_Phu,10.467721,105.192464,SA,D,15-07-2022,1.95,6400,1584.199,1793.1239,1460.4056,2252.3628,3593.0476,4002.6516,3876.0876,3230.3926
2022-05-10,Chau_Phu,10.467721,105.192464,SA,D,15-07-2022,1.95,6400,2231.4119,2508.1765,2653.549,2535.9607,3241.608,3709.7058,3280.2354,2481.2156
2022-04-30,Chau_Phu,10.467721,105.192464,SA,D,15-07-2022,1.95,6400,,,,,,,,
2022-04-25,Chau_Phu,10.467721,105.192464,SA,D,15-07-2022,1.95,6400,1919.9886,1919.0519,1699.2915,2338.9453,2595.5144,2746.9438,2674.8557,2477.6934
2022-04-20,Chau_Phu,10.467721,105.192464,SA,D,15-07-2022,1.95,6400,2141.5496,2089.889,1973.1532,2442.8809,2583.4683,2760.1255,2701.4297,2718.484
2022-04-15,Chau_Phu,10.467721,105.192464,SA,D,15-07-2022,1.95,6400,2670.5366,2639.7104,2664.3047,2929.0957,2793.6196,2876.3855,2840.8464,2979.9143
2022-04-10,Chau_Phu,10.467721,105.192464,SA,D,15-07-2022,1.95,6400,2312.8472,2269.291,2251.3477,2555.1465,2591.106,2739.565,2647.766,2186.5486
2022-04-05,Chau_Phu,10.467721,105.192464,SA,D,15-07-2022,1.95,6400,2361.906,2058.1714,1782.596,2782.6533,3022.596,3221.2698,3160.7837,3002.789
2022-03-31,Chau_Phu,10.467721,105.192464,SA,D,15-07-2022,1.95,6400,,,,,,,,
2022-03-26,Chau_Phu,10.467721,105.192464,SA,D,15-07-2022,1.95,6400,2248.938,2268.2876,1754.9049,3294.9258,4257.906,4653.058,4679.4897,4009.905
2022-03-21,Chau_Phu,10.467721,105.192464,SA,D,15-07-2022,1.95,6400,1623.2928,1775.2678,1669.6243,2011.1965,2506.1118,2817.2197,2720.2756,2017.973
2022-03-16,Chau_Phu,10.467721,105.192464,SA,D,15-07-2022,1.95,6400,,,,,,,,
2022-07-14,Chau_Phu,10.494453,105.241281,SA,T,15-07-2022,4.3,6000,,,,,,,,
2022-07-09,Chau_Phu,10.494453,105.241281,SA,T,15-07-2022,4.3,6000,,,,,,,,
2022-07-04,Chau_Phu,10.494453,105.241281,SA,T,15-07-2022,4.3,6000,,,,,,,,
2022-06-29,Chau_Phu,10.494453,105.241281,SA,T,15-07-2022,4.3,6000,,,,,,,,
2022-06-24,Chau_Phu,10.494453,105.241281,SA,T,15-07-2022,4.3,6000,1615.397,1843.8018,1619.118,2207.3716,3934.6494,4846.7954,4692.1084,2671.5972
2022-06-19,Chau_Phu,10.494453,105.241281,SA,T,15-07-2022,4.3,6000,1927.7,2137.9,1945.1,2326.8,3388.6,4135.6,3620.6,2309.8
2022-06-14,Chau_Phu,10.494453,105.241281,SA,T,15-07-2022,4.3,6000,1987.4302,2253.0464,2178.204,2517.264,4524.311,5850.416,5691.263,3049.019
2022-06-09,Chau_Phu,10.494453,105.241281,SA,T,15-07-2022,4.3,6000,1362.6827,1521.3224,1306.2471,1826.4553,3436.852,4479.629,4389.926,2662.3127
2022-06-04,Chau_Phu,10.494453,105.241281,SA,T,15-07-2022,4.3,6000,1385.5769,1613.6036,1357.7301,1955.1575,3796.956,4769.3936,4664.9585,2770.3926
2022-05-30,Chau_Phu,10.494453,105.241281,SA,T,15-07-2022,4.3,6000,1962.6786,2224.774,2372.476,2405.6428,3760.0715,4723.595,4436.905,2886.0952
2022-05-25,Chau_Phu,10.494453,105.241281,SA,T,15-07-2022,4.3,6000,1421.0538,1657.568,1304.3502,2074.2969,3993.7332,4849.4688,4721.9653,3054.6064
2022-05-20,Chau_Phu,10.494453,105.241281,SA,T,15-07-2022,4.3,6000,1574.2242,1847.2443,1545.315,2212.4353,4066.354,5034.7817,4773.833,3234.0625
2022-05-15,Chau_Phu,10.494453,105.241281,SA,T,15-07-2022,4.3,6000,1602.7487,1882.5641,1598.1564,2264.8801,3920.811,4522.5693,4363.2485,3281.8718
2022-05-10,Chau_Phu,10.494453,105.241281,SA,T,15-07-2022,4.3,6000,,,,,,,,
2022-04-30,Chau_Phu,10.494453,105.241281,SA,T,15-07-2022,4.3,6000,,,,,,,,
2022-04-25,Chau_Phu,10.494453,105.241281,SA,T,15-07-2022,4.3,6000,1868.5043,1987.237,1770.4612,2363.5327,2922.3062,3116.4216,2997.9966,2670.205
2022-04-20,Chau_Phu,10.494453,105.241281,SA,T,15-07-2022,4.3,6000,2215.4202,2245.1294,2184.5166,2508.0747,2602.7705,2741.969,2656.9758,2511.2888
2022-04-15,Chau_Phu,10.494453,105.241281,SA,T,15-07-2022,4.3,6000,2395.5208,2446.9792,2502.3438,2602.7256,2574.3057,2659.9966,2614.2568,1857.9341
2022-04-10,Chau_Phu,10.494453,105.241281,SA,T,15-07-2022,4.3,6000,2186.8484,2324.182,2480.182,2298.8484,2185.6667,2196.4546,2075.3635,1622.0303
2022-04-05,Chau_Phu,10.494453,105.241281,SA,T,15-07-2022,4.3,6000,1929.845,1780.4719,1570.0668,2311.3115,2629.5435,2808.9402,2761.3118,2414.1438
2022-03-31,Chau_Phu,10.494453,105.241281,SA,T,15-07-2022,4.3,6000,,,,,,,,
2022-03-26,Chau_Phu,10.494453,105.241281,SA,T,15-07-2022,4.3,6000,2131.115,2172.914,1727.8903,3112.4744,4040.017,4417.43,4455.5166,3752.1248
2022-03-21,Chau_Phu,10.494453,105.241281,SA,T,15-07-2022,4.3,6000,2043.0974,2312.5664,1938.956,2965.39,4284.2383,4908.114,4754.363,3126.7424
2022-03-16,Chau_Phu,10.494453,105.241281,SA,T,15-07-2022,4.3,6000,,,,,,,,
2022-07-14,Chau_Phu,10.535058,105.252744,SA,D,14-07-2022,3.3,6400,,,,,,,,
2022-07-09,Chau_Phu,10.535058,105.252744,SA,D,14-07-2022,3.3,6400,,,,,,,,
2022-07-04,Chau_Phu,10.535058,105.252744,SA,D,14-07-2022,3.3,6400,,,,,,,,
2022-06-29,Chau_Phu,10.535058,105.252744,SA,D,14-07-2022,3.3,6400,,,,,,,,
2022-06-24,Chau_Phu,10.535058,105.252744,SA,D,14-07-2022,3.3,6400,,,,,,,,
2022-06-19,Chau_Phu,10.535058,105.252744,SA,D,14-07-2022,3.3,6400,1471.3553,1808.0188,1503.167,2235.6746,4216.137,5418.931,5341.0503,2681.3152
2022-06-14,Chau_Phu,10.535058,105.252744,SA,D,14-07-2022,3.3,6400,,,,,,,,
2022-06-09,Chau_Phu,10.535058,105.252744,SA,D,14-07-2022,3.3,6400,1307.0348,1489.5137,1272.8185,1784.9088,3559.1064,4731.874,4632.2637,2572.5686
2022-06-04,Chau_Phu,10.535058,105.252744,SA,D,14-07-2022,3.3,6400,1441.6693,1643.3136,1378.414,1990.4724,3864.3083,4949.1694,4766.3584,2720.0393
2022-05-30,Chau_Phu,10.535058,105.252744,SA,D,14-07-2022,3.3,6400,,,,,,,,
2022-05-25,Chau_Phu,10.535058,105.252744,SA,D,14-07-2022,3.3,6400,1282.962,1542.4204,1184.4315,1945.4757,4025.3416,5016.4956,4863.2188,2834.3477
2022-05-20,Chau_Phu,10.535058,105.252744,SA,D,14-07-2022,3.3,6400,,,,,,,,
2022-05-15,Chau_Phu,10.535058,105.252744,SA,D,14-07-2022,3.3,6400,2193.6375,2468.3665,2321.2405,2759.5115,4151.5728,4685.817,4485.771,3547.901
2022-05-10,Chau_Phu,10.535058,105.252744,SA,D,14-07-2022,3.3,6400,2242.2273,2897.8635,3012.5,2886.182,4819.727,5791.909,5507.727,3256.0908
2022-04-30,Chau_Phu,10.535058,105.252744,SA,D,14-07-2022,3.3,6400,,,,,,,,
2022-04-25,Chau_Phu,10.535058,105.252744,SA,D,14-07-2022,3.3,6400,1812.7487,2009.1506,1796.9243,2352.3877,2597.428,2707.352,2530.0562,1823.987
2022-04-20,Chau_Phu,10.535058,105.252744,SA,D,14-07-2022,3.3,6400,2298.3271,2283.111,2142.453,2659.59,2699.6995,2826.371,2723.73,3085.1284
2022-04-15,Chau_Phu,10.535058,105.252744,SA,D,14-07-2022,3.3,6400,2516.3108,2536.5535,2564.767,2724.806,2451.6458,2490.136,2357.08,1516.0729
2022-04-10,Chau_Phu,10.535058,105.252744,SA,D,14-07-2022,3.3,6400,2249.1223,2260.2703,2224.427,2534.5085,2585.4668,2728.3533,2635.0703,2097.7659
2022-04-05,Chau_Phu,10.535058,105.252744,SA,D,14-07-2022,3.3,6400,2241.3218,2016.1735,1777.2051,2600.798,2831.8674,2995.5583,2955.1736,3477.4417
2022-03-31,Chau_Phu,10.535058,105.252744,SA,D,14-07-2022,3.3,6400,2447.8035,2222.2576,2107.7544,2707.673,2809.6965,3033.78,2985.78,3799.737
2022-03-26,Chau_Phu,10.535058,105.252744,SA,D,14-07-2022,3.3,6400,2360.6265,2048.2034,1807.5768,2770.2075,3124.6099,3426.7717,3494.083,5141.784
2022-03-21,Chau_Phu,10.535058,105.252744,SA,D,14-07-2022,3.3,6400,,,,,,,,
2022-03-16,Chau_Phu,10.535058,105.252744,SA,D,14-07-2022,3.3,6400,,,,,,,,
2022-07-14,Chau_Phu,10.50203,105.222373,SA,T,15-07-2022,3.5,5500,,,,,,,,
2022-07-09,Chau_Phu,10.50203,105.222373,SA,T,15-07-2022,3.5,5500,,,,,,,,
2022-07-04,Chau_Phu,10.50203,105.222373,SA,T,15-07-2022,3.5,5500,,,,,,,,
2022-06-29,Chau_Phu,10.50203,105.222373,SA,T,15-07-2022,3.5,5500,,,,,,,,
2022-06-24,Chau_Phu,10.50203,105.222373,SA,T,15-07-2022,3.5,5500,,,,,,,,
2022-06-19,Chau_Phu,10.50203,105.222373,SA,T,15-07-2022,3.5,5500,,,,,,,,
2022-06-14,Chau_Phu,10.50203,105.222373,SA,T,15-07-2022,3.5,5500,,,,,,,,
2022-06-09,Chau_Phu,10.50203,105.222373,SA,T,15-07-2022,3.5,5500,1424.0564,1578.8607,1387.6038,1840.5645,3234.3767,4105.5684,4007.845,2489.1587
2022-06-04,Chau_Phu,10.50203,105.222373,SA,T,15-07-2022,3.5,5500,1432.6344,1631.0858,1407.9116,1923.0065,3453.476,4251.4673,4130.948,2563.665
2022-05-30,Chau_Phu,10.50203,105.222373,SA,T,15-07-2022,3.5,5500,,,,,,,,
2022-05-25,Chau_Phu,10.50203,105.222373,SA,T,15-07-2022,3.5,5500,1442.0095,1634.9482,1311.1212,2016.8833,3469.3455,4086.2717,3965.447,2663.8887
2022-05-20,Chau_Phu,10.50203,105.222373,SA,T,15-07-2022,3.5,5500,1377.9298,1558.8003,1314.8873,1866.1342,3104.243,3714.7896,3500.0688,2560.7588
2022-05-15,Chau_Phu,10.50203,105.222373,SA,T,15-07-2022,3.5,5500,1442.621,1732.5182,1369.9263,2171.5635,3919.7163,4528.1675,4362.565,3122.9177
2022-05-10,Chau_Phu,10.50203,105.222373,SA,T,15-07-2022,3.5,5500,,,,,,,,
2022-04-30,Chau_Phu,10.50203,105.222373,SA,T,15-07-2022,3.5,5500,,,,,,,,
2022-04-25,Chau_Phu,10.50203,105.222373,SA,T,15-07-2022,3.5,5500,1866.4834,1997.2131,1761.8301,2367.7969,2839.723,3007.6726,2887.4326,2483.0632
2022-04-20,Chau_Phu,10.50203,105.222373,SA,T,15-07-2022,3.5,5500,2311.177,2358.4062,2237.3071,2656.625,2836.4268,3056.841,2942.398,2647.7551
2022-04-15,Chau_Phu,10.50203,105.222373,SA,T,15-07-2022,3.5,5500,2787.7773,2795.2515,2811.05,3050.574,2963.673,3056.894,2993.9702,2900.518
2022-04-10,Chau_Phu,10.50203,105.222373,SA,T,15-07-2022,3.5,5500,2386.8765,2390.0212,2379.3325,2628.7678,2627.4536,2760.6917,2647.707,1962.3889
2022-04-05,Chau_Phu,10.50203,105.222373,SA,T,15-07-2022,3.5,5500,2090.034,1925.6399,1705.654,2400.3271,2609.2336,2765.9104,2684.9565,2104.4683
2022-03-31,Chau_Phu,10.50203,105.222373,SA,T,15-07-2022,3.5,5500,,,,,,,,
2022-03-26,Chau_Phu,10.50203,105.222373,SA,T,15-07-2022,3.5,5500,2377.9883,2367.4578,1848.4382,3419.5476,4320.1045,4691.975,4703.056,4053.6729
2022-03-21,Chau_Phu,10.50203,105.222373,SA,T,15-07-2022,3.5,5500,1905.4552,2180.3137,1801.6088,2817.1658,3897.596,4403.9985,4226.643,2874.145
2022-03-16,Chau_Phu,10.50203,105.222373,SA,T,15-07-2022,3.5,5500,,,,,,,,
2022-07-14,Chau_Phu,10.48195,105.238448,SA,T,15-07-2022,2.0,6600,,,,,,,,
2022-07-09,Chau_Phu,10.48195,105.238448,SA,T,15-07-2022,2.0,6600,,,,,,,,
2022-07-04,Chau_Phu,10.48195,105.238448,SA,T,15-07-2022,2.0,6600,,,,,,,,
2022-06-29,Chau_Phu,10.48195,105.238448,SA,T,15-07-2022,2.0,6600,,,,,,,,
2022-06-24,Chau_Phu,10.48195,105.238448,SA,T,15-07-2022,2.0,6600,1627.4045,1948.078,1648.0096,2389.3918,4231.1685,5053.8906,4904.0684,2708.5046
2022-06-19,Chau_Phu,10.48195,105.238448,SA,T,15-07-2022,2.0,6600,1473.4788,1794.9943,1500.3866,2212.953,4151.174,5311.6626,5230.6235,2619.9666
2022-06-14,Chau_Phu,10.48195,105.238448,SA,T,15-07-2022,2.0,6600,1868.28,2018.24,2064.88,2048.36,2795.64,3300.28,3025.92,1986.72
2022-06-09,Chau_Phu,10.48195,105.238448,SA,T,15-07-2022,2.0,6600,1292.3092,1467.2954,1271.6438,1731.7574,3378.6104,4457.281,4360.6426,2495.863
2022-06-04,Chau_Phu,10.48195,105.238448,SA,T,15-07-2022,2.0,6600,1328.3164,1569.3923,1333.6066,1867.9023,3842.4895,4973.281,4856.7915,2689.9956
2022-05-30,Chau_Phu,10.48195,105.238448,SA,T,15-07-2022,2.0,6600,1894.6713,2177.0557,2142.2686,2375.7593,4069.3147,5302.1294,4945.4907,2986.4814
2022-05-25,Chau_Phu,10.48195,105.238448,SA,T,15-07-2022,2.0,6600,1318.9318,1555.4519,1230.1025,1930.4233,3890.454,4846.22,4724.943,2839.0522
2022-05-20,Chau_Phu,10.48195,105.238448,SA,T,15-07-2022,2.0,6600,1376.0792,1632.9102,1357.4355,1955.3805,3796.8118,4805.1963,4630.369,2882.3535
2022-05-15,Chau_Phu,10.48195,105.238448,SA,T,15-07-2022,2.0,6600,1475.2986,1789.2938,1475.3065,2168.8389,4371.84,5322.504,5140.251,3230.1611
2022-05-10,Chau_Phu,10.48195,105.238448,SA,T,15-07-2022,2.0,6600,,,,,,,,
2022-04-30,Chau_Phu,10.48195,105.238448,SA,T,15-07-2022,2.0,6600,,,,,,,,
2022-04-25,Chau_Phu,10.48195,105.238448,SA,T,15-07-2022,2.0,6600,1591.573,1899.1785,1668.6499,2163.4373,3005.5115,3198.4749,3044.8608,2296.421
2022-04-20,Chau_Phu,10.48195,105.238448,SA,T,15-07-2022,2.0,6600,2068.6553,2217.1606,2147.5757,2372.9805,2533.7463,2676.7205,2567.5486,2018.8071
2022-04-15,Chau_Phu,10.48195,105.238448,SA,T,15-07-2022,2.0,6600,2070.281,2136.635,2287.0098,2156.5059,1888.2012,1847.8938,1804.2477,1765.5662
2022-04-10,Chau_Phu,10.48195,105.238448,SA,T,15-07-2022,2.0,6600,2420.9524,2669.238,2822.5715,2673.5715,3154.238,3485.8572,3362.6667,2572.1904
2022-04-05,Chau_Phu,10.48195,105.238448,SA,T,15-07-2022,2.0,6600,1698.4424,1609.9191,1485.9368,1886.1202,1919.6163,2025.7982,1972.1237,1400.7366
2022-03-31,Chau_Phu,10.48195,105.238448,SA,T,15-07-2022,2.0,6600,,,,,,,,
2022-03-26,Chau_Phu,10.48195,105.238448,SA,T,15-07-2022,2.0,6600,2145.3345,1993.1073,1660.9979,2833.9065,3432.5427,3742.511,3812.0898,3900.3357
2022-03-21,Chau_Phu,10.48195,105.238448,SA,T,15-07-2022,2.0,6600,2112.1436,2366.4822,1892.7279,3216.4644,4669.3813,5384.295,5274.9355,3500.6829
2022-03-16,Chau_Phu,10.48195,105.238448,SA,T,15-07-2022,2.0,6600,,,,,,,,
2022-07-14,Chau_Phu,10.476738,105.227333,SA,T,15-07-2022,4.0,6000,,,,,,,,
2022-07-09,Chau_Phu,10.476738,105.227333,SA,T,15-07-2022,4.0,6000,,,,,,,,
2022-07-04,Chau_Phu,10.476738,105.227333,SA,T,15-07-2022,4.0,6000,,,,,,,,
2022-06-29,Chau_Phu,10.476738,105.227333,SA,T,15-07-2022,4.0,6000,,,,,,,,
2022-06-24,Chau_Phu,10.476738,105.227333,SA,T,15-07-2022,4.0,6000,1535.3334,1846.1041,1554.7709,2265.1667,3922.3333,4667.0835,4558.5,2434.25
2022-06-19,Chau_Phu,10.476738,105.227333,SA,T,15-07-2022,4.0,6000,1635.822,1941.4728,1683.014,2330.5356,4121.2485,5199.442,5082.6826,2516.3333
2022-06-14,Chau_Phu,10.476738,105.227333,SA,T,15-07-2022,4.0,6000,1562.4722,1723.3611,1762.75,1815.0,2714.0,3390.7778,3242.8333,1740.7778
2022-06-09,Chau_Phu,10.476738,105.227333,SA,T,15-07-2022,4.0,6000,1348.2073,1531.8138,1327.495,1807.0037,3401.5203,4402.3184,4293.1987,2509.6318
2022-06-04,Chau_Phu,10.476738,105.227333,SA,T,15-07-2022,4.0,6000,1349.2401,1588.373,1342.7996,1896.7673,3712.7197,4670.192,4555.873,2619.5342
2022-05-30,Chau_Phu,10.476738,105.227333,SA,T,15-07-2022,4.0,6000,2041.55,2275.5334,2246.0667,2504.8,3953.6,5014.6,4600.7334,2975.1333
2022-05-25,Chau_Phu,10.476738,105.227333,SA,T,15-07-2022,4.0,6000,1351.807,1578.8685,1255.0043,1946.6748,3747.4521,4582.84,4454.438,2781.0708
2022-05-20,Chau_Phu,10.476738,105.227333,SA,T,15-07-2022,4.0,6000,1331.7173,1575.9003,1349.8654,1856.3411,3416.936,4220.9746,4070.4294,2651.0693
2022-05-15,Chau_Phu,10.476738,105.227333,SA,T,15-07-2022,4.0,6000,1299.427,1585.115,1276.1948,1937.1232,3785.171,4519.9434,4352.6997,2842.9434
2022-05-10,Chau_Phu,10.476738,105.227333,SA,T,15-07-2022,4.0,6000,,,,,,,,
2022-04-30,Chau_Phu,10.476738,105.227333,SA,T,15-07-2022,4.0,6000,,,,,,,,
2022-04-25,Chau_Phu,10.476738,105.227333,SA,T,15-07-2022,4.0,6000,1667.9805,1895.4481,1705.1152,2148.504,2609.3396,2735.0005,2610.29,2110.912
2022-04-20,Chau_Phu,10.476738,105.227333,SA,T,15-07-2022,4.0,6000,,,,,,,,
