District,Latitude,Longitude,"Season(SA = Summer Autumn, WS = Winter Spring)","Rice Crop Intensity(D=Double, T=Triple)",Date of Harvest,Field size (ha),Rice Yield (kg/ha)
Chau_Phu,10.547628,105.146859,SA,T,28-07-2022,1.65,6500
Chau_Phu,10.534615,105.134916,SA,T,28-07-2022,2.56,6000
Chau_Phu,10.521024,105.146349,SA,T,28-07-2022,1.5,6000
Chau_Phu,10.546679,105.126512,SA,D,28-07-2022,1.74,6400
Chau_Phu,10.505349,105.165087,SA,T,28-07-2022,1.7,6000
Chau_Phu,10.51191,105.170596,SA,T,28-07-2022,1.7,6500
Chau_Phu,10.522164,105.178664,SA,T,28-07-2022,3.6,5500
Chau_Phu,10.548566,105.198194,SA,T,05-08-2022,2.7,6400
Chau_Phu,10.557257,105.1886,SA,T,05-08-2022,1.8,5500
Chau_Phu,10.576126,105.183375,SA,T,05-08-2022,1.5,5500
Chau_Phu,10.56984,105.190938,SA,T,05-08-2022,2.3,6500
Chau_Phu,10.585739,105.193578,SA,T,05-08-2022,2.3,5500
Chau_Phu,10.510542,105.248554,WS,T,01-04-2022,3.4,6800
Chau_Phu,10.50915,105.265098,WS,T,01-04-2022,2.43,7200
Chau_Phu,10.501829,105.273585,WS,T,01-04-2022,3.5,8000
Chau_Phu,10.485464,105.251956,WS,T,02-04-2022,2,7040
Chau_Phu,10.494453,105.241281,WS,T,01-04-2022,4.3,7600
Chau_Phu,10.50203,105.222373,WS,T,01-04-2022,3.5,7760
Chau_Phu,10.48195,105.238448,WS,T,01-04-2022,2,6400
Chau_Phu,10.476738,105.227333,WS,T,03-04-2022,4,7200
Chau_Phu,10.474439,105.216928,WS,T,04-04-2022,7,6800
Chau_Phu,10.482003,105.203866,WS,T,01-04-2022,3,7200
Chau_Phu,10.468679,105.203699,WS,T,01-04-2022,1.3,8000
Chau_Phu,10.467721,105.192464,WS,D,12-04-2022,1.95,7200
Chau_Phu,10.557185,105.227883,WS,D,12-04-2022,2.95,7200
Chau_Phu,10.550361,105.218667,WS,D,06-04-2022,3.03,7040
Chau_Phu,10.540457,105.207852,WS,D,06-04-2022,1.2,6400
Chau_Phu,10.533759,105.243145,WS,T,10-04-2022,2.8,8000
Chau_Phu,10.539297,105.225673,WS,T,10-04-2022,2,8000
Chau_Phu,10.527277,105.237319,WS,T,10-04-2022,2.9,6880
Chau_Phu,10.522821,105.229739,WS,T,10-04-2022,5.4,6400
Chau_Phu,10.536277,105.293087,WS,T,01-04-2022,2,7760
Chau_Phu,10.542998,105.261159,WS,D,01-04-2022,4.9,7040
Chau_Phu,10.524082,105.268907,WS,D,01-04-2022,2.1,6400
Chau_Phu,10.549477,105.273725,WS,D,01-04-2022,1.55,7200
Chau_Phu,10.524439,105.254678,WS,D,01-04-2022,4,6800
Chau_Phu,10.445962,105.123164,WS,D,07-04-2022,3,7200
Chau_Phu,10.46658,105.139698,WS,D,06-04-2022,3,7600
Chau_Phu,10.498551,105.167513,WS,T,04-04-2022,1.4,7200
Chau_Phu,10.522871,105.184845,WS,T,03-04-2022,2.5,7040
Chau_Phu,10.527792,105.204924,WS,T,03-04-2022,3.2,7200
Chau_Phu,10.514912,105.216308,WS,D,03-04-2022,2,7040
Chau_Phu,10.505489,105.203926,WS,D,03-04-2022,1.4,7200
Chau_Phu,10.464233,105.183189,WS,T,03-04-2022,3.7,6400
Chau_Phu,10.461453,105.172294,WS,D,03-04-2022,2.25,6400
Chau_Phu,10.467778,105.163448,WS,D,03-04-2022,4.9,6960
Chau_Phu,10.458071,105.162504,WS,D,03-04-2022,2,6400
Chau_Phu,10.44784,105.141425,WS,D,03-04-2022,2,6400
Chau_Phu,10.513536,105.127422,WS,D,10-04-2022,2.4,6400
Chau_Phu,10.492507,105.122386,WS,T,10-04-2022,3.4,6400
Chau_Phu,10.475484,105.13594,WS,T,10-04-2022,2.1,7200
Chau_Phu,10.455882,105.126628,WS,D,10-04-2022,1.9,6800
Chau_Phu,10.545098,105.112895,WS,D,10-04-2022,3.6,6400
Chau_Phu,10.5263,105.091077,WS,T,10-04-2022,1.62,7200
Chau_Phu,10.479304,105.102943,WS,D,10-04-2022,2.9,6800
Chau_Phu,10.510203,105.111601,WS,T,10-04-2022,2.1,7920
Chau_Phu,10.499686,105.158111,WS,D,10-04-2022,2.1,6400
Chau_Phu,10.534074,105.126326,WS,T,10-04-2022,3,8000
Chau_Phu,10.636733,105.155635,WS,T,10-04-2022,3.2,8000
Chau_Phu,10.649258,105.142121,WS,D,10-04-2022,1.75,8000
Chau_Phu,10.676956,105.147011,WS,D,10-04-2022,3.2,7200
Chau_Phu,10.64394,105.165296,WS,T,10-04-2022,1.4,6400
Chau_Phu,10.653314,105.174185,WS,T,10-04-2022,3,7200
Chau_Phu,10.663484,105.168203,WS,D,10-04-2022,3,7200
Chau_Phu,10.64683,105.119494,WS,T,10-04-2022,2.4,7200
Chau_Phu,10.634849,105.13078,WS,T,10-04-2022,4,6400
Chau_Phu,10.626774,105.140369,WS,T,10-04-2022,4,7200
Chau_Phu,10.612095,105.141919,WS,T,10-04-2022,2.5,8000
Chau_Phu,10.628311,105.12253,WS,T,10-04-2022,2,8000
Chau_Phu,10.630244,105.19128,WS,D,12-04-2022,6,6800
Chau_Phu,10.599524,105.186221,WS,D,12-04-2022,1.3,6400
Chau_Phu,10.61225,105.175364,WS,D,12-04-2022,4,7200
Chau_Phu,10.605148,105.164514,WS,D,12-04-2022,3,7200
Chau_Phu,10.595261,105.15779,WS,D,12-04-2022,2.04,6800
Chau_Phu,10.603991,105.147312,WS,D,12-04-2022,3.34,7920
Chau_Phu,10.603094,105.127872,WS,T,10-04-2022,2.3,8000
Chau_Phu,10.580993,105.154027,WS,T,10-04-2022,2,7200
Chau_Phu,10.571793,105.16066,WS,T,10-04-2022,4,7200
Chau_Phu,10.559295,105.124493,WS,T,10-04-2022,1.8,7200
Chau_Phu,10.552114,105.091399,WS,D,10-04-2022,3.6,7760
Chau_Phu,10.56526,105.088832,WS,T,10-04-2022,1.65,8000
Chau_Phu,10.593644,105.075243,WS,T,10-04-2022,2,6800
Chau_Phu,10.571202,105.135919,WS,T,10-04-2022,1.8,7200
Chau_Phu,10.590564,105.128439,WS,T,10-04-2022,5,8000
Chau_Phu,10.619493,105.095029,WS,T,10-04-2022,2.3,6800
Chau_Phu,10.565735,105.172074,WS,T,10-04-2022,2,7200
Chau_Phu,10.562531,105.169469,WS,T,10-04-2022,1.25,7600
Chau_Phu,10.555822,105.1711,WS,T,10-04-2022,1.95,7200
Chau_Phu,10.546857,105.181035,WS,T,10-04-2022,2.6,6800
Chau_Phu,10.546629,105.163964,WS,T,10-04-2022,1.95,7200
Chau_Phu,10.554634,105.1522,WS,D,10-04-2022,2.3,7040
Chau_Phu,10.547628,105.146859,WS,T,10-04-2022,1.65,7200
Chau_Phu,10.534615,105.134916,WS,T,10-04-2022,2.56,6800
Chau_Phu,10.521024,105.146349,WS,T,10-04-2022,1.5,6400
Chau_Phu,10.546679,105.126512,WS,D,10-04-2022,1.74,6400
Chau_Phu,10.505349,105.165087,WS,T,10-04-2022,1.7,6880
Chau_Phu,10.522164,105.178664,WS,T,10-04-2022,3.6,7760
Chau_Phu,10.531488,105.186775,WS,T,10-04-2022,3,8000
Chau_Phu,10.536087,105.175145,WS,T,10-04-2022,5,7040
Chau_Phu,10.548566,105.198194,WS,T,10-04-2022,2.7,6800
Chau_Phu,10.567359,105.177342,WS,T,10-04-2022,1.8,7200
Chau_Phu,10.576126,105.183375,WS,T,10-04-2022,1.5,7200
Chau_Phu,10.564704,105.19729,WS,T,10-04-2022,2,7200
Chau_Phu,10.558195,105.203328,WS,T,10-04-2022,1.4,8000
Chau_Phu,10.585739,105.193578,WS,T,10-04-2022,2.3,7040
Chau_Phu,10.581404,105.200348,WS,T,10-04-2022,1.8,7200
Chau_Phu,10.570816,105.208925,WS,T,10-04-2022,2.15,7200
Chau_Thanh,10.446006,105.338972,SA,T,10-07-2022,2.2,5500
Chau_Thanh,10.442271,105.339057,SA,T,10-07-2022,2.53,6000
Chau_Thanh,10.439647,105.334052,SA,T,10-07-2022,2.42,6500
Chau_Thanh,10.444036,105.331928,SA,T,10-07-2022,2.42,6000
Chau_Thanh,10.447125,105.31374,SA,T,10-07-2022,2.75,6400
Chau_Thanh,10.436532,105.313783,SA,T,10-07-2022,1.32,5500
Chau_Thanh,10.434624,105.327551,SA,T,10-07-2022,2.53,6600
Chau_Thanh,10.420981,105.295797,SA,T,15-07-2022,1.76,6000
Chau_Thanh,10.470305,105.287062,SA,T,15-07-2022,1.43,5500
Chau_Thanh,10.494104,105.291042,SA,D,15-07-2022,1.76,6500
Chau_Thanh,10.43531,105.292557,SA,T,15-07-2022,1.87,5500
Chau_Thanh,10.419561,105.277369,SA,T,15-07-2022,1.43,5500
Chau_Thanh,10.458369,105.270803,SA,T,15-07-2022,1.87,6400
Chau_Thanh,10.470013,105.264425,SA,T,15-07-2022,1.54,5500
Chau_Thanh,10.485812,105.267525,SA,T,15-07-2022,2.2,5500
Chau_Thanh,10.390554,105.336857,SA,T,15-07-2022,3.3,5500
Chau_Thanh,10.384444,105.3447,SA,T,15-07-2022,2.09,5500
Chau_Thanh,10.391491,105.34899,SA,T,15-07-2022,2.2,6000
Chau_Thanh,10.399353,105.356462,SA,T,15-07-2022,2.2,5500
Chau_Thanh,10.409367,105.355252,SA,T,15-07-2022,2.42,5500
Chau_Thanh,10.405902,105.36283,SA,T,15-07-2022,2.53,6500
Chau_Thanh,10.391149,105.359279,SA,T,15-07-2022,2.035,5500
Chau_Thanh,10.381544,105.174719,SA,T,14-07-2022,2.2,6400
Chau_Thanh,10.37346,105.184697,SA,T,14-07-2022,1.65,5500
Chau_Thanh,10.396044,105.180167,SA,T,14-07-2022,1.32,6000
Chau_Thanh,10.391295,105.178235,SA,T,14-07-2022,2.09,6700
Chau_Thanh,10.389374,105.169781,SA,T,14-07-2022,2.09,6000
Chau_Thanh,10.395094,105.169245,SA,T,14-07-2022,3.85,6000
Chau_Thanh,10.391781,105.161155,SA,T,14-07-2022,1.87,6400
Chau_Thanh,10.379507,105.154892,SA,T,14-07-2022,1.32,6500
Chau_Thanh,10.378511,105.144998,SA,T,14-07-2022,1.65,6000
Chau_Thanh,10.375619,105.124248,SA,T,14-07-2022,1.87,6000
Chau_Thanh,10.395734,105.143745,SA,T,14-07-2022,1.76,6000
Chau_Thanh,10.419552,105.116409,SA,D,26-07-2022,3.3,6000
Chau_Thanh,10.414613,105.125615,SA,T,26-07-2022,3.85,6000
Chau_Thanh,10.407982,105.123304,SA,D,26-07-2022,2.75,5500
Chau_Thanh,10.403175,105.123726,SA,D,26-07-2022,4.4,6000
Chau_Thanh,10.399444,105.118528,SA,T,26-07-2022,1.65,6000
Chau_Thanh,10.408214,105.131329,SA,T,26-07-2022,1.98,5500
Chau_Thanh,10.399645,105.141286,SA,T,26-07-2022,5.5,5500
Chau_Thanh,10.407581,105.1521,SA,T,26-07-2022,2.75,6400
Chau_Thanh,10.42324,105.126544,SA,D,26-07-2022,1.87,6000
Chau_Thanh,10.421066,105.136822,SA,D,26-07-2022,2.75,6000
Chau_Thanh,10.429339,105.125493,SA,D,26-07-2022,3.3,6000
Chau_Thanh,10.429212,105.141436,SA,D,26-07-2022,1.21,6000
Chau_Thanh,10.429142,105.151556,SA,T,26-07-2022,3.08,6500
Chau_Thanh,10.438048,105.153225,SA,T,26-07-2022,5.5,6400
Chau_Thanh,10.43062,105.165627,SA,T,26-07-2022,1.65,5500
Chau_Thanh,10.420174,105.16361,SA,T,26-07-2022,2.2,6600
Chau_Thanh,10.415236,105.156765,SA,T,26-07-2022,1.54,6000
Chau_Thanh,10.422463,105.151846,SA,T,26-07-2022,2.75,6000
Chau_Thanh,10.44819,105.181879,SA,T,20-07-2022,3.245,6000
Chau_Thanh,10.447684,105.190977,SA,T,20-07-2022,1.98,6500
Chau_Thanh,10.458467,105.196191,SA,T,20-07-2022,1.87,6500
Chau_Thanh,10.460493,105.209967,SA,T,20-07-2022,2.2,6000
Chau_Thanh,10.427104,105.210954,SA,T,20-07-2022,1.65,5500
Chau_Thanh,10.426155,105.176598,SA,T,20-07-2022,2.09,6000
Chau_Thanh,10.412311,105.176834,SA,T,20-07-2022,1.54,6500
Chau_Thanh,10.400449,105.171793,SA,T,20-07-2022,1.43,5500
Chau_Thanh,10.417324,105.208881,SA,T,20-07-2022,3.3,5500
Chau_Thanh,10.452718,105.220233,SA,T,20-07-2022,1.32,6000
Chau_Thanh,10.465667,105.225904,SA,T,20-07-2022,1.65,6400
Chau_Thanh,10.452795,105.21348,SA,T,20-07-2022,1.43,6500
Chau_Thanh,10.459704,105.218744,SA,T,20-07-2022,1.65,5500
Chau_Thanh,10.451085,105.243664,SA,T,28-07-2022,1.43,6600
Chau_Thanh,10.443488,105.236111,SA,T,28-07-2022,1.65,5500
Chau_Thanh,10.436907,105.236241,SA,T,28-07-2022,1.375,6000
Chau_Thanh,10.432459,105.260003,SA,T,28-07-2022,3.3,5500
Chau_Thanh,10.417011,105.261676,SA,T,28-07-2022,1.54,6400
Chau_Thanh,10.412925,105.251545,SA,T,28-07-2022,2.2,5500
Chau_Thanh,10.467229,105.24767,SA,T,28-07-2022,1.54,5500
Chau_Thanh,10.430085,105.221996,SA,D,28-07-2022,2.75,6000
Chau_Thanh,10.420483,105.223648,SA,T,28-07-2022,3.08,6000
Chau_Thanh,10.413742,105.22261,SA,T,28-07-2022,1.65,6000
Chau_Thanh,10.410742,105.220616,SA,T,28-07-2022,2.53,6000
Chau_Thanh,10.406597,105.221367,SA,T,28-07-2022,1.32,6000
Chau_Thanh,10.407515,105.229231,SA,T,28-07-2022,3.3,6000
Chau_Thanh,10.413908,105.234515,SA,T,28-07-2022,1.65,5500
Chau_Thanh,10.421158,105.237197,SA,T,17-07-2022,1.76,6000
Chau_Thanh,10.375656,105.29185,SA,T,17-07-2022,5.83,6000
Chau_Thanh,10.378696,105.309113,SA,T,17-07-2022,1.32,6000
Chau_Thanh,10.415137,105.316832,SA,T,17-07-2022,2.42,6400
Chau_Thanh,10.396712,105.324921,SA,T,17-07-2022,2.53,5500
Chau_Thanh,10.396951,105.281083,SA,T,17-07-2022,3.3,5500
Chau_Thanh,10.386495,105.284636,SA,T,17-07-2022,1.98,6500
Chau_Thanh,10.394517,105.260713,SA,T,19-07-2022,4.4,5500
Chau_Thanh,10.406199,105.248616,SA,T,19-07-2022,6.05,6500
Chau_Thanh,10.402927,105.235656,SA,T,19-07-2022,1.98,5500
Chau_Thanh,10.392248,105.227502,SA,T,19-07-2022,2.2,6500
Chau_Thanh,10.375756,105.208993,SA,T,19-07-2022,1.98,6000
Chau_Thanh,10.374004,105.228649,SA,T,19-07-2022,4.95,6000
Chau_Thanh,10.374524,105.255016,SA,T,19-07-2022,4,6400
Chau_Thanh,10.370371,105.275589,SA,T,19-07-2022,3,6400
Chau_Thanh,10.404721,105.258428,SA,T,19-07-2022,5,6400
Chau_Thanh,10.359519,105.360913,SA,T,04-08-2022,4,6400
Chau_Thanh,10.354744,105.336739,SA,T,04-08-2022,1.6,5500
Chau_Thanh,10.38045,105.349866,SA,T,04-08-2022,2.5,5500
Chau_Thanh,10.374447,105.330923,SA,T,04-08-2022,3.2,6500
Chau_Thanh,10.363786,105.288188,SA,T,04-08-2022,2.8,6000
Chau_Thanh,10.369692,105.29684,SA,T,04-08-2022,4,5500
Chau_Thanh,10.446006,105.338972,WS,T,20-03-2022,2.2,8000
Chau_Thanh,10.442271,105.339057,WS,T,20-03-2022,2.53,7000
Chau_Thanh,10.439647,105.334052,WS,T,20-03-2022,2.42,8000
Chau_Thanh,10.444036,105.331928,WS,T,20-03-2022,2.42,7200
Chau_Thanh,10.443677,105.348236,WS,T,20-03-2022,1.76,7040
Chau_Thanh,10.454342,105.322838,WS,D,20-03-2022,1.375,7600
Chau_Thanh,10.447125,105.31374,WS,T,20-03-2022,2.75,7000
Chau_Thanh,10.436532,105.313783,WS,T,20-03-2022,1.32,7760
Chau_Thanh,10.430707,105.315671,WS,T,20-03-2022,1.54,7040
Chau_Thanh,10.434624,105.327551,WS,T,20-03-2022,2.53,7400
Chau_Thanh,10.470305,105.287062,WS,T,25-03-2022,1.43,7000
Chau_Thanh,10.434116,105.27315,WS,T,25-03-2022,2.2,7000
Chau_Thanh,10.494104,105.291042,WS,D,25-03-2022,1.76,7000
Chau_Thanh,10.43531,105.292557,WS,T,25-03-2022,1.87,7600
Chau_Thanh,10.419561,105.277369,WS,T,25-03-2022,1.43,7200
Chau_Thanh,10.443492,105.281103,WS,T,25-03-2022,3.3,8000
Chau_Thanh,10.458369,105.270803,WS,T,25-03-2022,1.87,7200
Chau_Thanh,10.470013,105.264425,WS,T,25-03-2022,1.54,7200
Chau_Thanh,10.485812,105.267525,WS,T,25-03-2022,2.2,7040
Chau_Thanh,10.400189,105.331053,WS,T,25-03-2022,1.32,7000
Chau_Thanh,10.384444,105.3447,WS,T,25-03-2022,2.09,8000
Chau_Thanh,10.391491,105.34899,WS,T,25-03-2022,2.2,7600
Chau_Thanh,10.399353,105.356462,WS,T,25-03-2022,2.2,7000
Chau_Thanh,10.417429,105.363577,WS,T,25-03-2022,3.3,6400
Chau_Thanh,10.411649,105.370659,WS,T,25-03-2022,1.43,7760
Chau_Thanh,10.405902,105.36283,WS,T,25-03-2022,2.53,8000
Chau_Thanh,10.391149,105.359279,WS,T,25-03-2022,2.035,7040
Chau_Thanh,10.412537,105.321768,WS,T,25-03-2022,3.08,7000
Chau_Thanh,10.377238,105.165363,WS,T,25-03-2022,2.2,7200
Chau_Thanh,10.381544,105.174719,WS,T,25-03-2022,2.2,8000
Chau_Thanh,10.37346,105.184697,WS,T,25-03-2022,1.65,6800
Chau_Thanh,10.386546,105.19302,WS,T,24-03-2022,1.65,7200
Chau_Thanh,10.396044,105.180167,WS,T,24-03-2022,1.32,7200
Chau_Thanh,10.389374,105.169781,WS,T,24-03-2022,2.09,7040
Chau_Thanh,10.395094,105.169245,WS,T,24-03-2022,3.85,7200
Chau_Thanh,10.391781,105.161155,WS,T,24-03-2022,1.87,7040
Chau_Thanh,10.379507,105.154892,WS,T,24-03-2022,1.32,7200
Chau_Thanh,10.378511,105.144998,WS,T,24-03-2022,1.65,8000
Chau_Thanh,10.387123,105.119326,WS,T,24-03-2022,1.87,6800
Chau_Thanh,10.394341,105.126836,WS,T,24-03-2022,4.4,7000
Chau_Thanh,10.395734,105.143745,WS,T,24-03-2022,1.76,6960
Chau_Thanh,10.389594,105.147461,WS,T,24-03-2022,3.3,6400
Chau_Thanh,10.426536,105.115181,WS,T,27-03-2022,1.43,7200
Chau_Thanh,10.419552,105.116409,WS,D,27-03-2022,3.3,7200
Chau_Thanh,10.403175,105.123726,WS,D,27-03-2022,4.4,6400
Chau_Thanh,10.399444,105.118528,WS,T,27-03-2022,1.65,7000
Chau_Thanh,10.408214,105.131329,WS,T,27-03-2022,1.98,7000
Chau_Thanh,10.408003,105.139183,WS,T,27-03-2022,2.64,7200
Chau_Thanh,10.41636,105.142144,WS,T,27-03-2022,1.43,7000
Chau_Thanh,10.399645,105.141286,WS,T,27-03-2022,5.5,8000
Chau_Thanh,10.407581,105.1521,WS,T,27-03-2022,2.75,7000
Chau_Thanh,10.400025,105.152916,WS,T,27-03-2022,2.53,7000
Chau_Thanh,10.42324,105.126544,WS,D,27-03-2022,1.87,7200
Chau_Thanh,10.421066,105.136822,WS,D,27-03-2022,2.75,7000
Chau_Thanh,10.429339,105.125493,WS,D,27-03-2022,3.3,6800
Chau_Thanh,10.435839,105.132981,WS,D,27-03-2022,1.21,7920
Chau_Thanh,10.429142,105.151556,WS,T,27-03-2022,3.08,7000
Chau_Thanh,10.438048,105.153225,WS,T,27-03-2022,5.5,8000
Chau_Thanh,10.43062,105.165627,WS,T,27-03-2022,1.65,7600
Chau_Thanh,10.428426,105.156744,WS,T,27-03-2022,1.65,7200
Chau_Thanh,10.420174,105.16361,WS,T,27-03-2022,2.2,8000
Chau_Thanh,10.415236,105.156765,WS,T,27-03-2022,1.54,8000
Chau_Thanh,10.420702,105.15698,WS,T,27-03-2022,3.3,7200
Chau_Thanh,10.422463,105.151846,WS,T,27-03-2022,2.75,7200
Chau_Thanh,10.44819,105.181879,WS,T,26-03-2022,3.245,6400
Chau_Thanh,10.447684,105.190977,WS,T,26-03-2022,1.98,8000
Chau_Thanh,10.452516,105.191857,WS,T,26-03-2022,2.2,7200
Chau_Thanh,10.458467,105.196191,WS,T,26-03-2022,1.87,7200
Chau_Thanh,10.452537,105.205118,WS,T,26-03-2022,5.5,7200
Chau_Thanh,10.427104,105.210954,WS,T,26-03-2022,1.65,7200
Chau_Thanh,10.437524,105.185343,WS,D,26-03-2022,2.75,8000
Chau_Thanh,10.426155,105.176598,WS,T,26-03-2022,2.09,7200
Chau_Thanh,10.412311,105.176834,WS,T,26-03-2022,1.54,8000
Chau_Thanh,10.400449,105.171793,WS,T,26-03-2022,1.43,8000
Chau_Thanh,10.402793,105.189574,WS,T,26-03-2022,1.54,6800
Chau_Thanh,10.445632,105.21046,WS,D,26-03-2022,1.32,7500
Chau_Thanh,10.405702,105.208668,WS,T,26-03-2022,1.32,7500
Chau_Thanh,10.417324,105.208881,WS,T,26-03-2022,3.3,7500
Chau_Thanh,10.414226,105.195214,WS,T,26-03-2022,1.87,6400
Chau_Thanh,10.452718,105.220233,WS,T,26-03-2022,1.32,7500
Chau_Thanh,10.437524,105.202166,WS,D,26-03-2022,2.31,7200
Chau_Thanh,10.459704,105.218744,WS,T,21-03-2022,1.65,7200
Chau_Thanh,10.451085,105.243664,WS,T,27-03-2022,1.43,7200
Chau_Thanh,10.433791,105.231265,WS,T,27-03-2022,1.98,6800
Chau_Thanh,10.417011,105.261676,WS,T,27-03-2022,1.54,7900
Chau_Thanh,10.455571,105.240074,WS,T,27-03-2022,2.09,7200
Chau_Thanh,10.467229,105.24767,WS,T,27-03-2022,1.54,7200
Chau_Thanh,10.454948,105.23029,WS,T,27-03-2022,1.65,7200
Chau_Thanh,10.430085,105.221996,WS,D,27-03-2022,2.75,7760
Chau_Thanh,10.420483,105.223648,WS,T,27-03-2022,3.08,8000
Chau_Thanh,10.413742,105.22261,WS,T,27-03-2022,1.65,6800
Chau_Thanh,10.410742,105.220616,WS,T,27-03-2022,2.53,7400
Chau_Thanh,10.406597,105.221367,WS,T,27-03-2022,1.32,7000
Chau_Thanh,10.413908,105.234515,WS,T,27-03-2022,1.65,7500
Chau_Thanh,10.375656,105.29185,WS,T,27-03-2022,5.83,6400
Chau_Thanh,10.40466,105.311554,WS,T,27-03-2022,1.87,6800
Chau_Thanh,10.396712,105.324921,WS,T,27-03-2022,2.53,7200
Chau_Thanh,10.409187,105.288345,WS,T,27-03-2022,2.64,7600
Chau_Thanh,10.396951,105.281083,WS,T,27-03-2022,3.3,7200
Chau_Thanh,10.386495,105.284636,WS,T,27-03-2022,1.98,7000
Chau_Thanh,10.394517,105.260713,WS,T,22-03-2022,4.4,6800
Chau_Thanh,10.406199,105.248616,WS,T,22-03-2022,6.05,7200
Chau_Thanh,10.402927,105.235656,WS,T,22-03-2022,1.98,7040
